,user_id,location,repo_count,followers_count,folowee_count,days_from_creation,days_from_update,interest_q,tech_q,languages_q,positions_q,status_q
0,665991,Boston MA,8,21,4,2083,5,internet,analog integrated circuits,lustre,software tester,mtech
1,3854017,Geneva,14,12,20,1351,12,internet,analog integrated circuits,lustre,software tester,mtech
2,6339799,,10,4,1,1051,55,internet,analog integrated circuits,lustre,software tester,mtech
3,6894991,"Alicante, Spain",83,24,122,990,50,mountaineering,nanostructures,jscript,software tester,mtech
4,485033,"Hanover, Germany",33,712,17,2198,19,pottery,functional programming,java,software tester,btech
5,4319954,"Jakarta, Indonesia",16,4,0,1301,99,internet,analog integrated circuits,lustre,software tester,mtech
6,2881602,,14,3,1,1459,33,internet,analog integrated circuits,lustre,software tester,mtech
7,3495129,NH-USA,7,0,0,1386,22,internet,analog integrated circuits,lustre,software tester,mtech
8,10363514,,9,0,0,692,29,internet,analog integrated circuits,lustre,software tester,mtech
9,7659931,"Prague, CZ",6,1,1,917,32,internet,analog integrated circuits,lustre,software tester,mtech
10,4070158,,14,1,1,1328,121,internet,analog integrated circuits,lustre,software tester,mtech
11,285289,"Seoul, Korea",20,19,29,2375,11,cooking,algorithms,logo,web developer,
12,1757814,Tunis,91,12,116,1647,7,internet,analog integrated circuits,lustre,software tester,mtech
13,9538449,,0,0,0,751,270,internet,analog integrated circuits,lustre,software tester,mtech
14,1277095,,18,4,0,1799,51,internet,analog integrated circuits,lustre,software tester,mtech
15,2362917,"Belmont, MA",11,11,0,1528,12,internet,analog integrated circuits,lustre,software tester,mtech
16,6269456,,3,0,0,1062,15,internet,analog integrated circuits,lustre,software tester,mtech
17,546301,"Roswell, GA",5,4,15,2150,187,internet,analog integrated circuits,lustre,software tester,mtech
18,2339563,London,34,38,6,1532,18,internet,analog integrated circuits,lustre,software tester,mtech
19,10357835,,1,0,0,693,270,internet,analog integrated circuits,lustre,software tester,mtech
20,1258383,"Copenhagen, Denmark",13,7,5,1808,69,internet,analog integrated circuits,lustre,software tester,mtech
21,803897,"Passau, Germany",91,21,16,2012,11,go,complexity,java,web developer,msc
22,9381532,"Gurgaon, Haryana, India",1,0,0,761,341,internet,analog integrated circuits,lustre,software tester,mtech
23,824460,Quebec City,118,125,622,2001,7,sewing,applied magnetics,rust,software tester,mcs
24,6158630,中国,11,0,0,1078,29,internet,analog integrated circuits,lustre,software tester,mtech
25,1014189,"Zikim, Israel",42,5,0,1912,23,internet,analog integrated circuits,lustre,software tester,mtech
26,1209286,,135,8,14,1829,35,internet,analog integrated circuits,lustre,software tester,mtech
27,467030,San Francisco Bay Area,14,40,9,2211,18,internet,analog integrated circuits,lustre,software tester,mtech
28,5409394,,7,1,1,1172,27,meditation,renewable power,java,web developer,phd
29,2059591,,8,1,0,1578,114,internet,analog integrated circuits,lustre,software tester,mtech
30,6508762,,58,9,7,1032,2,internet,analog integrated circuits,lustre,software tester,mtech
31,926454,San Francisco Bay Area,24,122,1,1954,93,internet,analog integrated circuits,lustre,software tester,mtech
32,10162972,,0,0,0,712,270,internet,analog integrated circuits,lustre,software tester,mtech
33,1459915,Japan,18,11,1,1736,56,internet,analog integrated circuits,lustre,software tester,mtech
34,732452,,2,10,0,2049,36,internet,analog integrated circuits,lustre,software tester,mtech
35,227042,WA,10,6,8,2440,17,internet,analog integrated circuits,lustre,software tester,mtech
36,1276160,"Charleston, SC",26,7,0,1800,128,internet,analog integrated circuits,lustre,software tester,mtech
37,429529,,33,3,4,2240,26,internet,analog integrated circuits,lustre,software tester,mtech
38,3157424,,62,2,0,1423,69,internet,analog integrated circuits,lustre,software tester,mtech
39,1608685,,0,1,0,1695,270,internet,analog integrated circuits,lustre,software tester,mtech
40,4447136,,1,0,0,1287,15,internet,analog integrated circuits,lustre,software tester,mtech
41,1450716,,6,0,0,1739,2,internet,analog integrated circuits,lustre,software tester,mtech
42,877290,https://twitter.com/wyldckat,48,59,7,1977,17,internet,analog integrated circuits,lustre,software tester,mtech
43,2318343,Pittsburgh,3,8,4,1535,56,internet,analog integrated circuits,lustre,software tester,mtech
44,8675834,,1,0,0,809,270,internet,analog integrated circuits,lustre,software tester,mtech
45,16546086,,8,0,0,324,24,internet,analog integrated circuits,lustre,software tester,mtech
46,2884455,,12,0,0,1459,33,internet,analog integrated circuits,lustre,software tester,mtech
47,4277,"Moscow, Russia",13,207,142,3157,19,internet,analog integrated circuits,lustre,software tester,mtech
48,8770348,,3,0,0,801,392,internet,analog integrated circuits,lustre,software tester,mtech
49,5059195,New Jersey,6,3,0,1221,77,internet,analog integrated circuits,lustre,software tester,mtech
50,4102215,,1,0,0,1324,270,internet,analog integrated circuits,lustre,software tester,mtech
51,7580708,,3,0,0,924,188,internet,analog integrated circuits,lustre,software tester,mtech
52,8147971,,1,0,0,864,270,internet,analog integrated circuits,lustre,software tester,mtech
53,924247,,0,11,0,1954,33,internet,analog integrated circuits,lustre,software tester,mtech
54,6178707,Perth,21,14,12,1076,27,internet,analog integrated circuits,lustre,software tester,mtech
55,3160808,"Cleveland, Ohio",18,1181,8,1423,3,internet,analog integrated circuits,lustre,software tester,mtech
56,7356386,"Drammen, Norway",3,0,5,948,30,internet,analog integrated circuits,lustre,software tester,mtech
57,636687,"Boston, MA",16,8,7,2099,31,internet,analog integrated circuits,lustre,software tester,mtech
58,2101973,,16,23,35,1570,127,internet,analog integrated circuits,lustre,software tester,mtech
59,3000391,,2,0,0,1445,270,internet,analog integrated circuits,lustre,software tester,mtech
60,4005415,,47,10,0,1335,90,internet,analog integrated circuits,lustre,software tester,mtech
61,10364620,,3,0,0,692,270,internet,analog integrated circuits,lustre,software tester,mtech
62,16563,,20,103,0,3059,2,internet,analog integrated circuits,lustre,software tester,mtech
63,5496929,Los Angeles,28,41,41,1161,153,internet,analog integrated circuits,lustre,software tester,mtech
64,487050,"Portsmouth, NH",107,38,8,2197,10,internet,analog integrated circuits,lustre,software tester,mtech
65,114114,,242,61,41,2661,9,debate,smart grid,smarty,test analyst,mtech
66,10364695,,1,0,0,692,270,internet,analog integrated circuits,lustre,software tester,mtech
67,18551602,,3,0,0,218,218,internet,analog integrated circuits,lustre,software tester,mtech
68,4419146,"Verona, Italy",63,34,8,1290,31,soccer,modeling,python,business analyst,phd
69,597140,Chicago,15,5,9,2121,12,internet,analog integrated circuits,lustre,software tester,mtech
70,3244065,,16,1,0,1412,143,internet,analog integrated circuits,lustre,software tester,mtech
71,4582835,,5,0,0,1272,53,internet,analog integrated circuits,lustre,software tester,mtech
72,24870,Japan,18,53,78,2990,159,internet,analog integrated circuits,lustre,software tester,mtech
73,5174751,"Cinisello Balsamo, Milan, Italy",2,34,10,1205,13,internet,analog integrated circuits,lustre,software tester,mtech
74,1179960,ShenZhen,27,3,9,1842,17,internet,analog integrated circuits,lustre,software tester,mtech
75,8280494,,26,0,0,850,201,internet,analog integrated circuits,lustre,software tester,mtech
76,280212,"Berlin, Germany",215,70,56,2381,5,archery,nanostructures,clean,system engineer,mtech
77,16219602,,1,0,0,350,25,internet,analog integrated circuits,lustre,software tester,mtech
78,1121789,,19,7,4,1869,4,internet,analog integrated circuits,lustre,software tester,mtech
79,28127,Dakar | Nouakchott,48,35,81,2968,248,internet,analog integrated circuits,lustre,software tester,mtech
80,8345569,New York City,3,0,0,843,66,internet,analog integrated circuits,lustre,software tester,mtech
81,1646422,,10,2,2,1682,3,internet,analog integrated circuits,lustre,software tester,mtech
82,10350512,,1,0,0,694,270,internet,analog integrated circuits,lustre,software tester,mtech
83,1984680,,0,3,14,1591,23,internet,analog integrated circuits,lustre,software tester,mtech
84,3305006,Federal Republic of Germany,7,5,7,1405,8,internet,analog integrated circuits,lustre,software tester,mtech
85,3233271,"Beijing, China",12,6,12,1413,43,internet,analog integrated circuits,lustre,software tester,mtech
86,8265668,Nanjing,16,2,2,852,3,internet,analog integrated circuits,lustre,software tester,mtech
87,1866543,,9,21,1,1618,63,internet,analog integrated circuits,lustre,software tester,mtech
88,6376156,"Sydney, Australia",16,12,24,1047,6,internet,analog integrated circuits,lustre,software tester,mtech
89,10364741,,1,0,0,692,270,internet,analog integrated circuits,lustre,software tester,mtech
90,5477252,"Stirling, UK",9,0,0,1163,6,sailing,computer vision,mathematica,systems analyst,mtech
91,62572,London,45,21,6,2814,48,internet,analog integrated circuits,lustre,software tester,mtech
92,10086149,,3,0,0,719,85,internet,analog integrated circuits,lustre,software tester,mtech
93,7184355,,1,0,0,963,41,internet,analog integrated circuits,lustre,software tester,mtech
94,3904348,"Karlsruhe, Germany",25,5,11,1345,2,internet,analog integrated circuits,lustre,software tester,mtech
95,2447222,Bangalore,57,2,18,1517,3,dolls,rf circuit design,gosu,web developer,phd
96,2152766,London,115,93,22,1562,5,arts,computer vision,autoit,software tester,mtech
97,1687276,"HangZhou, China",3,57,124,1670,13,reading,modeling,lingo,software manager,mtech
98,829292,Brussels,33,40,0,1999,2,internet,analog integrated circuits,lustre,software tester,mtech
99,6243408,"Sylhet, Bangladesh.",64,7,57,1067,6,sports,power systems,self,software tester,mas
100,1560181,Russia,327,19,4,1708,24,internet,analog integrated circuits,lustre,software tester,mtech
101,210312,NYC,33,9,7,2464,6,internet,analog integrated circuits,lustre,software tester,mtech
102,4921183,Dubai,28,177,53,1240,18,writing,modeling,ioke,software architect,mtech
103,3634239,Poland,21,2,1,1373,117,internet,analog integrated circuits,lustre,software tester,mtech
104,10252673,,2,0,0,704,270,internet,analog integrated circuits,lustre,software tester,mtech
105,3499186,,1,1,24,1385,35,internet,analog integrated circuits,lustre,software tester,mtech
106,82952,"Istanbul, Turkey",82,489,299,2754,31,soccer,renewable power,scheme,web developer,mas
107,256041,"Athens, Greece",8,73,0,2401,4,internet,analog integrated circuits,lustre,software tester,mtech
108,6325631,,26,3,0,1053,22,internet,analog integrated circuits,lustre,software tester,mtech
109,827024,Israel,14,3,0,2000,3,internet,analog integrated circuits,lustre,software tester,mtech
110,9826478,Alicante,2,1,1,736,270,internet,analog integrated circuits,lustre,software tester,mtech
111,1793469,Tel-Aviv,18,19,9,1638,97,internet,analog integrated circuits,lustre,software tester,mtech
112,370793,,6,0,0,2287,191,internet,analog integrated circuits,lustre,software tester,mtech
113,1218603,,27,1,3,1826,63,internet,analog integrated circuits,lustre,software tester,mtech
114,5622390,,5,4,2,1144,238,internet,analog integrated circuits,lustre,software tester,mtech
115,9118616,,3,0,0,776,13,internet,analog integrated circuits,lustre,software tester,mtech
116,2599479,Caen,13,1,3,1496,75,internet,analog integrated circuits,lustre,software tester,mtech
117,3148102,"Tokyo, Japan",38,31,14,1425,81,internet,analog integrated circuits,lustre,software tester,mtech
118,2254431,,18,4,0,1545,6,internet,analog integrated circuits,lustre,software tester,mtech
119,2413283,Brazil,135,81,0,1521,84,internet,analog integrated circuits,lustre,software tester,mtech
